f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,class
417.0,0.0,0.0,0,2,2,0,0,673,673.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0
500.0,0.8615,0.76,0,4,8,9,0,1458,724.875,4755.0,0.034069400630914834,23.0,0.033438485804416405,19.0,8.0,6.0,1
664.0,1.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,3576.0,0.0,0.0,0.0,0.0,0
546.0,0.375,0.0,0,6,13,7,0,1529,875.6153846153846,0.0,0.0,1114.0,0.0,0.0,0.0,35.0,0
571.0,0.5,0.0,2,5,5,3,0,717,439.4,0.0,0.0,49.0,0.0,3.0,0.0,65.0,0
503.0,1.0,0.0,0,0,0,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
522.0,0.8333,0.0,1,10,24,20,0,4254,1328.9166666666667,0.0,0.0,46.0,0.0,3.0,1.0,17.0,1
518.0,0.6,1.035,0,7,8,3,0,793,360.75,3900.0,0.03282051282051282,18.0,0.06384615384615384,2.0,0.0,150.0,0
552.0,0.6667,0.0,0,2,7,0,0,2947,1677.142857142857,0.0,0.0,63.0,0.0,3.0,4.0,7.0,0
498.0,0.75,0.0,0,4,7,3,0,2073,1071.0,150.0,0.0,169.0,0.0,1.0,1.0,0.0,0
483.0,0.875,0.0,0,1,3,6,1,3239,1739.666666666667,0.0,0.0,75.0,0.0,10.0,6.0,27.0,1
500.0,1.0,0.684,0,3,3,3,0,541,456.0,900.0,0.011111111111111113,42.0,0.05111111111111112,0.0,0.0,0.0,0
487.0,0.9333,0.0,1,3,3,11,0,180,137.66666666666666,0.0,0.0,109.0,0.0,0.0,1.0,51.0,0
481.0,1.0,0.0,1,3,3,4,0,300,189.66666666666663,0.0,0.0,553.0,0.0,0.0,0.0,0.0,0
523.0,0.7143,1.001,2,3,3,3,0,111,82.66666666666667,900.0,0.12666666666666668,20.0,0.11777777777777775,2.0,1.0,2.0,0
460.0,0.3333,0.0,0,1,3,2,0,853,600.0,0.0,0.0,56.0,0.0,0.0,0.0,14.0,0
670.0,0.8333,0.084,0,3,3,1,0,453,305.6666666666667,2750.0,0.0,44.0,0.012727272727272728,0.0,1.0,7.0,0
551.0,1.0,0.0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
451.0,0.8667,0.0,3,3,7,8,0,1361,616.7142857142858,0.0,0.0,43.0,0.0,17.0,8.0,31.0,0
472.0,0.6667,0.0,0,5,30,32,0,1195,883.1333333333333,0.0,0.0,434.0,0.0,2.0,2.0,43.0,0
531.0,1.0,0.0,0,0,1,3,0,2320,2320.0,0.0,0.0,1043.0,0.0,0.0,0.0,0.0,0
505.0,0.6842,0.0,0,2,6,15,0,2063,966.8333333333335,0.0,0.0,205.0,0.0,0.0,0.0,70.0,0
519.0,0.6667,0.034,0,0,10,4,0,5999,1899.1,17900.0,0.0,35.0,0.0015083798882681565,2.0,2.0,6.0,0
507.0,1.0,0.0,0,14,20,17,0,1569,635.85,0.0,0.0,859.0,0.0,0.0,0.0,0.0,0
608.0,1.0,0.0,0,1,2,4,1,858,762.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,1
589.0,1.0,0.0,0,0,1,5,0,897,897.0,0.0,0.0,497.0,0.0,0.0,0.0,0.0,0
437.0,0.55,0.0,1,5,14,41,0,1953,990.0,0.0,0.0,373.0,0.0,0.0,1.0,291.0,0
588.0,0.7778,0.0,2,6,16,22,0,1876,1151.875,600.0,0.0,170.0,0.0,0.0,0.0,64.0,0
417.0,0.6,0.0,1,6,10,9,0,2274,980.1,0.0,0.0,821.0,0.0,0.0,0.0,16.0,0
417.0,0.6,0.0,1,6,10,9,0,2274,980.1,0.0,0.0,821.0,0.0,0.0,0.0,16.0,0
457.0,0.6,0.0,0,8,12,11,0,2147,758.5,0.0,0.0,694.0,0.0,0.0,0.0,20.0,0
399.0,0.0,0.0,0,0,2,1,0,1787,1429.0,0.0,0.0,63.0,0.0,17.0,3.0,0.0,0
525.0,1.0,0.0,0,0,0,1,0,0,0.0,0.0,0.0,358.0,0.0,0.0,0.0,0.0,0
501.0,1.0,0.0,0,2,3,5,0,873,653.3333333333334,0.0,0.0,170.0,0.0,0.0,0.0,0.0,0
515.0,1.0,0.0,0,3,5,3,0,1046,595.0,0.0,0.0,2669.0,0.0,0.0,0.0,0.0,0
652.0,1.0,0.0,3,7,7,0,0,569,277.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0
572.0,0.6111,0.0,0,2,5,6,0,1334,771.6,200.0,0.0,1382.0,0.0,1.0,1.0,66.0,0
573.0,1.0,0.0,0,2,5,10,0,3555,1228.2,1000.0,0.0,49.0,0.0,0.0,0.0,0.0,0
548.0,0.0,0.0,0,1,1,1,0,616,616.0,0.0,0.0,1989.0,0.0,2.0,0.0,0.0,1
578.0,0.9286,0.0,0,3,6,11,0,1380,640.6666666666666,0.0,0.0,51.0,0.0,2.0,1.0,1.0,0
513.0,0.6667,0.0,0,3,5,5,0,2354,1090.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0
631.0,1.0,0.319,0,1,7,5,0,1700,1179.7142857142858,1400.0,0.0,35.0,0.04642857142857143,0.0,0.0,0.0,1
572.0,0.9375,0.0,0,0,5,7,0,2495,1331.8,0.0,0.0,24.0,0.0,3.0,0.0,0.0,1
572.0,0.9375,0.0,0,0,5,7,0,2495,1331.8,0.0,0.0,24.0,0.0,3.0,0.0,0.0,0
570.0,1.0,0.0,0,3,7,5,0,1492,857.2857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
570.0,1.0,0.0,0,3,7,5,0,1492,857.2857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
603.0,1.0,0.974,1,9,14,2,1,5461,1567.428571428571,2850.0,0.0,15.0,0.05228070175438596,0.0,0.0,0.0,0
551.0,1.0,0.0,1,1,3,3,0,1014,655.3333333333334,0.0,0.0,639.0,0.0,0.0,0.0,0.0,0
508.0,0.7143,0.0,0,0,1,3,0,1694,1694.0,0.0,0.0,281.0,0.0,2.0,1.0,50.0,0
487.0,0.0,0.73,0,1,1,0,0,263,263.0,2000.0,0.0,25.0,0.055,1.0,0.0,0.0,1
612.0,0.6667,0.0,0,0,0,1,0,0,0.0,0.0,0.0,806.0,0.0,4.0,1.0,0.0,1
484.0,0.75,0.0,0,2,6,9,0,2382,1229.6666666666667,0.0,0.0,266.0,0.0,0.0,0.0,9.0,0
540.0,1.0,0.9,0,0,1,1,0,1035,1035.0,500.0,0.0,14.0,0.076,0.0,0.0,0.0,0
551.0,1.0,0.0,1,7,12,12,0,2973,1025.3333333333333,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0
538.0,0.8333,1.123,0,1,13,18,1,4081,1555.5384615384617,700.0,4.3185714285714285,31.0,0.06571428571428571,19.0,7.0,15.0,0
627.0,0.7143,0.0,0,0,2,3,0,4590,2949.5,260000.0,0.0,370.0,0.0,2.0,0.0,0.0,1
